POOFFICE,TOTPRISN,TIMSERVM,TIMSERVD,TOTDAYS,SENTIMP,MONRACE,MONSEX,NEWEDUC,NEWRACE,OFFTYPSB,NEWCIT,AGE,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,HISPORIG
1,30,0,0,0,1,2,0,3,2,13,0,20,1,211,1,62,1
2,1,0,0,3,1,1,0,1,3,27,1,32,3,49,1,84,2
1,1,0,0,2,1,1,0,5,3,27,1,27,3,49,1,84,2
1,48,0,0,0,1,1,0,1,3,27,1,38,3,32,1,16,2
2,83,0,0,0,1,2,0,5,2,23,0,40,1,211,1,48,1
3,84,0,0,0,1,1,1,1,1,13,0,31,1,211,1,49,1
3,120,0,0,0,1,2,0,3,2,10,0,36,1,211,1,5,1
2,48,0,0,0,1,2,0,1,2,10,0,59,1,211,1,73,1
8,135,0,0,0,1,8,0,1,3,10,1,57,4,28,0,30,2
3,130,0,0,0,1,2,0,3,3,13,0,24,1,211,1,31,2
8,0,0,0,0,4,1,1,3,1,19,0,49,1,211,0,30,1
3,30,0,0,0,1,1,0,5,3,10,0,66,1,211,1,31,2
3,0,0,0,0,4,1,1,1,3,27,1,41,3,49,1,42,2
3,0,997,997,0,1,1,1,5,3,27,1,44,3,49,1,74,2
3,188,0,0,0,1,1,1,3,1,10,0,32,1,211,1,49,1
3,10,0,0,0,1,1,0,1,3,27,0,23,1,211,1,74,2
2,35,0,0,0,1,1,0,1,3,27,1,28,3,49,1,70,2
8,21,0,0,0,1,1,0,1,1,30,0,36,1,211,1,67,1
3,120,0,0,0,1,1,0,1,3,10,1,48,2,20,1,31,2
4,0,0,0,0,4,2,0,1,2,30,0,40,1,211,1,60,1
2,68,0,0,0,1,2,0,3,2,13,0,28,1,211,1,34,1
6,15,0,0,0,1,1,0,5,1,34,0,58,1,211,1,40,1
0,46,0,0,0,1,1,0,3,3,27,1,45,3,49,1,73,2
2,46,0,0,0,1,1,0,1,3,10,1,45,3,49,0,70,2
1,24,0,0,0,1,1,0,3,1,18,0,66,1,211,0,47,1
1,120,0,0,0,1,2,0,1,2,10,0,33,1,211,1,8,1
3,0,0,0,0,4,1,0,1,3,27,1,32,3,49,1,42,2
3,21,0,0,0,1,2,0,5,2,10,0,59,1,211,1,49,1
2,30,0,0,0,1,1,0,3,1,19,0,53,1,211,1,61,1
2,6,0,0,0,1,1,1,3,3,27,0,41,1,211,1,70,2
2,36,0,0,0,1,1,0,3,3,6,0,28,1,211,1,61,2
2,57,0,0,0,1,1,0,3,3,10,0,25,1,211,1,61,2
2,15,0,0,0,1,1,0,1,3,27,1,36,4,49,1,61,2
3,30,0,0,0,1,1,0,6,1,10,0,54,1,211,1,74,1
3,4,0,0,0,1,1,0,5,3,27,1,44,3,211,1,74,2
2,5,0,0,0,1,1,0,1,3,10,1,28,3,49,0,84,2
4,0,0,0,0,4,2,0,5,2,11,0,30,1,211,1,60,1
2,12,0,0,1,1,1,0,1,3,27,1,28,3,49,1,70,2
1,15,0,0,0,1,1,0,1,3,27,1,52,3,49,1,90,2
3,21,0,0,0,1,1,0,3,1,10,0,72,1,211,1,54,1
2,24,0,0,0,1,1,0,1,3,10,0,31,1,211,1,57,2
2,37,0,0,0,1,1,0,1,3,27,1,44,3,49,1,72,2
2,24,0,0,0,1,2,1,5,2,10,0,44,1,211,1,57,1
2,36,0,0,0,1,1,0,5,3,10,0,38,1,211,1,57,2
2,0,0,0,0,4,1,0,5,1,35,0,59,1,211,1,57,1
4,60,0,0,0,1,2,0,5,2,13,0,30,1,211,1,66,0
3,86,0,0,0,1,1,0,5,1,28,0,32,1,211,1,49,1
3,120,0,0,0,1,2,0,3,2,10,0,27,1,211,1,54,1
1,60,0,0,0,1,2,0,1,2,6,0,23,1,211,1,46,1
