CRIMHIST,DISTRICT,MONSEX,NEWCIT,NEWEDUC,NEWRACE,OFFTYPSB,TOTPRISN,AGE
1,62,0,0,3,2,13,30,20
1,84,0,1,1,3,27,1,32
1,84,0,1,5,3,27,1,27
1,16,0,1,1,3,27,48,38
1,48,0,0,5,2,23,83,40
1,49,1,0,1,1,13,84,31
1,2,0,0,3,1,22,12,65
1,35,0,0,1,2,10,324,37
0,84,1,0,5,3,10,41,37
1,84,0,1,1,3,10,27,31
,48,1,0,,1,17,0,63
1,62,0,0,3,2,6,87,49
1,84,0,1,1,3,27,1,48
1,67,0,1,1,3,18,0,39
1,67,0,0,5,1,10,12,59
1,67,0,0,3,3,10,120,38
1,39,0,1,1,3,27,46,25
1,10,0,0,5,3,10,120,39
1,39,0,0,3,1,28,121,47
1,70,0,0,3,6,10,112,37
1,39,0,1,1,3,27,14,35
1,70,1,0,5,3,10,0,36
0,70,0,1,5,3,10,24,26
1,67,0,1,1,3,27,0,39
1,39,0,1,1,3,27,21,34
1,39,0,0,1,3,10,71,22
1,84,0,1,1,3,27,1,29
1,66,0,0,3,1,10,12,19
1,39,0,1,1,3,27,14,31
1,77,0,0,5,6,30,15,48
1,33,0,0,3,1,13,0,46
0,49,0,0,5,1,28,12,24
1,14,0,0,1,2,10,18,19
0,38,0,0,6,1,21,60,65
1,51,0,1,3,3,27,77,44
1,1,0,1,1,3,27,70,39
1,51,0,0,1,2,10,0,33
1,62,0,0,5,1,18,27,33
1,69,1,0,1,6,5,9,20
1,70,0,0,3,3,10,48,25
1,51,0,0,3,2,10,24,29
1,39,0,0,1,2,10,135,30
1,61,0,1,3,3,10,72,28
1,61,0,0,3,1,18,0,38
0,42,1,0,3,3,10,10,19
0,1,0,0,6,1,18,24,46
1,39,0,1,1,3,27,7,37
1,62,0,0,5,1,28,120,28
1,49,0,0,1,1,10,97,49
1,48,0,0,3,1,10,18,37
1,73,0,0,6,1,18,30,62
1,73,0,0,3,3,10,151,45
1,22,0,0,1,2,18,3,45
1,84,0,1,1,3,27,0,22
1,26,1,0,1,1,17,0,54
1,51,0,1,3,3,27,18,48
1,84,1,0,5,3,10,0,25
1,26,0,0,5,1,28,96,53
1,70,0,0,5,6,2,96,33
1,78,0,1,1,3,10,46,40
1,70,0,1,1,3,27,27,35
1,45,0,1,1,3,13,8,24
1,2,0,1,1,3,10,30,34
1,48,0,0,1,2,13,18,27
1,22,1,1,3,1,4,120,24
1,83,0,1,1,3,27,0,40
1,94,0,0,1,6,18,0,27
1,84,0,1,1,3,27,2,30
1,38,0,0,1,2,10,31,42
,27,0,,,,29,1,39
1,0,0,1,5,1,11,30,34
1,30,0,1,1,3,27,4,36
1,4,0,1,3,3,13,150,25
1,58,1,0,1,2,17,0,20
1,4,0,0,3,3,10,120,29
1,63,0,1,1,3,27,15,43
1,58,1,0,5,6,10,9,28
1,39,0,0,1,2,13,120,33
1,84,0,1,1,3,27,0,42
1,24,1,0,5,2,10,0,30
1,84,0,1,1,3,27,0,48
1,40,0,0,5,1,10,188,30
1,84,0,1,1,3,27,0,37
1,83,0,0,3,1,10,12,59
1,29,1,0,5,2,18,24,49
1,84,0,1,1,3,27,0,28
1,84,0,1,1,3,27,1,32
1,38,0,0,1,3,30,0,29
1,89,0,1,1,3,27,0,24
1,84,0,1,1,3,27,1,33
0,78,0,1,5,3,10,12,24
1,55,1,0,5,1,18,61,29
1,49,1,0,3,1,35,0,19
1,67,0,0,3,1,28,180,23
1,67,0,1,,,27,4,38
1,67,0,1,1,,27,18,39
1,67,0,1,6,,27,0,58
0,67,0,0,3,1,28,48,57
1,67,0,1,1,3,10,120,30
1,67,0,1,1,,27,0,39
1,67,0,0,1,3,13,97,50
1,67,0,0,3,2,13,180,23
1,67,0,1,1,3,27,40,26
1,67,1,0,1,3,10,70,23
1,67,0,0,3,1,10,24,61
1,67,0,1,1,2,27,0,29
1,69,0,0,3,6,29,15,26
1,70,0,0,3,6,35,0,38
0,4,1,0,6,3,17,0,45
1,5,0,0,6,3,18,18,33
1,85,0,0,3,1,13,0,45
1,84,0,1,1,3,27,0,43
1,84,1,1,1,3,27,0,22
1,84,0,1,1,3,27,0,25
1,84,0,1,1,3,27,4,21
0,70,0,1,1,3,10,26,30
1,54,0,0,3,1,10,151,27
1,31,0,1,1,3,13,57,47
1,84,0,1,3,3,27,1,37
1,84,0,1,1,3,27,12,30
1,60,0,0,1,2,10,60,24
1,30,0,1,,2,18,0,50
1,60,0,0,1,2,10,240,40
0,34,0,0,,,35,0,29
1,47,0,0,3,1,13,94,61
1,30,0,1,1,3,27,0,27
0,46,0,0,5,1,18,0,36
0,46,0,0,3,1,18,0,38
1,74,0,0,1,3,27,15,39
0,26,1,0,3,1,18,0,52
1,73,0,0,1,3,10,120,25
1,73,0,1,5,1,10,72,61
1,42,0,1,1,3,27,0,37
1,42,0,1,1,3,27,8,41
1,70,0,1,1,3,27,7,26
1,73,0,1,1,3,27,33,35
1,84,0,1,1,3,10,2,34
1,82,0,1,6,1,18,12,34
1,71,0,0,6,1,18,57,42
1,71,0,0,3,2,10,36,39
1,84,0,1,3,3,27,3,25
1,70,0,1,1,3,27,13,30
1,8,0,1,5,3,10,0,42
1,70,0,0,1,3,10,0,44
1,75,1,0,6,1,34,0,61
0,42,1,0,1,3,18,0,43
1,70,0,1,1,3,27,0,40
1,42,0,1,1,3,27,41,33
0,75,0,0,5,6,28,60,55
1,13,0,1,1,3,27,37,43
1,40,0,0,1,1,10,41,33
1,12,0,0,1,2,10,100,23
1,12,0,0,5,3,13,4,46
0,0,0,0,5,1,35,0,41
1,22,0,0,,1,17,3,29
1,46,0,1,,3,27,2,38
1,83,0,1,6,1,10,12,46
